Pytanie;Odpowiedź;Rozdział
Badania pomocnicze w neurologii: odtwórz fakt ze skryptu zaczynający się od: zaniki mięśniowe i fascykulacje - pojawiają się w uszkodzeniu...;"zaniki mięśniowe i fascykulacje - pojawiają się w uszkodzeniu obwodowego neuronu ruchowego;";Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: odtwórz fakt ze skryptu zaczynający się od: objaw Lhermitte’a - badamy podobnie jak sztywność karku - pacjent...;"objaw Lhermitte’a - badamy podobnie jak sztywność karku - pacjent zgłasza bolesne przejście „prądu” wzdłuż kręgosłupa - przy uszkodzeniu rdzenia szyjnego (np. w SLA);";Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: odtwórz fakt ze skryptu zaczynający się od: odruchy deliberacyjne -występują w otępieniach - odruch pyszczkowy,...;odruchy deliberacyjne -występują w otępieniach - odruch pyszczkowy, objaw dłoniowo-bródkowy, chwyt;Badania pomocnicze w neurologii
"Antidotum dla inhibitorów czynnika Xa (apiksaban, rywaroksaban) to:
A. Idarucyzumab
B. Witamina K
C. PCC (koncentrat czynników zespołu protrombiny) lub Adneksanet alfa
D. Siarczan Protaminy
E. Fondaparynuks";C. PCC (koncentrat czynników zespołu protrombiny) lub Adneksanet alfa (egzamin neurologia 2026 cykl A-2.docx, pyt. 1);Zespoły neurologiczne i lokalizacja
"Upośledzenie to polega na niezdolności chorego do wykonania bardziej skomplikowanych, złożonych czynności ruchowych, wymagających zapamiętania pewnych podstawowych umiejętności oraz kolejności ich wykonania. Z reguły dotyczy to czynności nabytych, których chory wcześniej się wyuczył. Wskaż któremu z poniższych pojęć odpowiada ten opis:
A. agnozja
B. apraksja
C. afazja
D. amnezja
E. agrafia";B. apraksja (egzamin neurologia 2026 cykl A-2.docx, pyt. 8);Zespoły neurologiczne i lokalizacja
"Niekorzystnym rokowniczo czynnikiem w stwardnieniu rozsianym jest:
A. Początek choroby < 40 r. życia
B. Płeć żeńska
C. Niekompletne ustąpienie objawów pierwszego rzutu
D. Długi czas pomiędzy pierwszym a drugim rzutem
E. Brak zmian Gd + w czasie pierwszego rzutu";C. Niekompletne ustąpienie objawów pierwszego rzutu (egzamin neurologia 2026 cykl A-2.docx, pyt. 9);Zespoły neurologiczne i lokalizacja
"W przypadku udaru niedokrwiennego w zakresie pnia mózgu mogą wystąpić:
A. Izolowana afazja
B. Oczopląs i porażenie spojrzenia bocznego
C. Jednostronna ślepota
D. Apraksja kończyn
E. Zespół zaniedbywania przestrzennego";B. Oczopląs i porażenie spojrzenia bocznego (egzamin neurologia 2026 cykl A-2.docx, pyt. 21);Zespoły neurologiczne i lokalizacja
"Który z poniższych objawów NIE JEST charakterystyczny dla zespołu móżdżkowego ?
A. Dysmetria
B. Oczopląsjkj
C. Hipotonia mięśniowa
D. Wygórowane odruchy ścięgniste
E. Niezborność ruchowa";D. Wygórowane odruchy ścięgniste (egzamin neurologia 2026 cykl A-2.docx, pyt. 41);Zespoły neurologiczne i lokalizacja
"Typowy obraz wodogłowia normotensyjnego obejmuje triadę objawów:
A. Drżenie, bradykinezja, sztywność
B. Zaburzenia chodu, otępienie, nietrzymanie moczu
C. Zaburzenia wzroku, ataksja, afazja
D. Bóle głowy, wymioty, diplopia
E. Dystonia, mioklonie, apraksja";B. Zaburzenia chodu, otępienie, nietrzymanie moczu (egzamin neurologia 2026 cykl A-2.docx, pyt. 46);Zespoły neurologiczne i lokalizacja
"Zaznacz NIEPRAWIDŁOWE stwierdzenie dotyczące zespołów padaczkowych:
A. przykładem jest zespół Dravet
B. w większości są genetycznie uwarunkowane
C. mają typowy wiek zachorowania
D. maja specyficzny wzorzec BEG
E. mają ścisły związek z urazami mózgu";E. mają ścisły związek z urazami mózgu (egzamin neurologia 2026 cykl A-2.docx, pyt. 57);Zespoły neurologiczne i lokalizacja
"Balizm najczęściej spowodowany jest uszkodzeniem:
A. Jądra niskowzgórzowego
B. Istoty czarnej
C. Skorupy
D. Gałki bladej
E. Wzgórza";A. Jądra niskowzgórzowego (egzamin neurologia 2026 cykl A-2.docx, pyt. 61);Zespoły neurologiczne i lokalizacja
"Zespół Hornera:
A. wynika z uszkodzenia szlaków współczulnych
B. wynika z uszkodzenia szlaków przywspółczulnych
C. objawia się jako opadająca powieka, zaburzenia potowydzielnicze połowy twarzy, zwężenie źrenicy, wrażenie zapadniętej gałki ocznej
D. + c
E. b+c";D. + c (egzamin neurologia 2026 cykl A-2.docx, pyt. 65);Zespoły neurologiczne i lokalizacja
"30-Ietnia pacjentka zgłosiła się na SOR z porażeniem mięśni mimicznych prawej połowy twarzy. Czoło i fałd nosowo-gardłowy sa wygladzone po prawej stronie twarzy, prawy kącik ust opadniety. Pacjentka ma trudności z zamknięciem oka po porażonej stronie twarzy, Przy próbie zamknięcia prawego oka widoczna jest rotacja gałki ocznej na zewnątrz i do göry. Objawy pojawiły się nagle. 2 tygodnie wcześniej pacjentka zaobserwowała u siebie opryszczkę wargowa. Objawy i wywiad sugerują:
A. Porażenie Bella (obwodowe porażenie CN VII po prawej stronie)
B. Porażenie Bella (ośrodkowe porażenie CN VII po lewej stronie)
C. Zespół Guillaina- Barrego
D. Porażenie nerwu trójdzielnego
E. Udar mózgu w obrębie prawej półkuli";A. Porażenie Bella (obwodowe porażenie CN VII po prawej stronie) (egzamin neurologia 2026 cykl A-2.docx, pyt. 67);Zespoły neurologiczne i lokalizacja
"Zespół Brown-Sequard'a objawia się jako:
A. uszkodzenia zniesienie czucia wibracji, propriocepcji i czucia głębokiego po stronie
B. niedowład spastyczny po stronie uszkodzenia
C. zniesienie czucia bólu, temperatury i delikatnego dotyku po stronie przeciwnej do uszkodzenia
D. a+ b+ c
E. a+ b";D. a+ b+ c (egzamin neurologia 2026 cykl A-2.docx, pyt. 68);Zespoły neurologiczne i lokalizacja
"Skala służąca do oceny niesprawności chorego ze stwardnieniem rozsianym to skala:
A. UPDRS
B. EDSS
C. MMSE
D. NIHSS
E. Rankina";B. EDSS (egzamin neurologia 2026 cykl A-2.docx, pyt. 69);Zespoły neurologiczne i lokalizacja
"W przypadku niedoboru witaminy B12 możemy spotkać się z następującymi objawami ZA WYJĄTKIEM:
A. Polineuropatii
B. Zniesienia odruchów głębokich
C. Zaniku nerwu wzrokowego
D. Zespołu Hornera
E. Objawów piramidowych";D. Zespołu Hornera (egzamin neurologia 2026 cykl A-2.docx, pyt. 75);Zespoły neurologiczne i lokalizacja
"Do jakiej struktury neuronatomicznej w pierwszej kolejności dociera większość
A. informacji z narządów zmysłów, w której są poddawane są analizie i przekazywane dalej do kory mózgowej (struktura ta pelni rolę stacji przekaźnikowej):
B. hipokamp
C. gałka blada
D. wzgórze
E. prazkowie
F. wyspa";D. wzgórze (egzamin neurologia 2026 cykl A-2.docx, pyt. 82);Zespoły neurologiczne i lokalizacja
"Wskaż najbardziej charakterystyczny objaw dla symptomatologii stwardnienia rozsianego wynikający z uszkodzenia drogi wzrokowej:
A. oczopląs
B. zapalenie pozagałkowe nerwu wzrokowego z mroczkiem środkowym
C. zaburzenia gałkoruchowe
D. widzenie przedmiotów jako większe niż w rzeczywistości (makropsja)
E. całkowity ubytek pola widzenia w dolnych kwadrantach";B. zapalenie pozagałkowe nerwu wzrokowego z mroczkiem środkowym (egzamin neurologia II 2026 cykl A-3.docx, pyt. 5);Zespoły neurologiczne i lokalizacja
"W udarze w zakresie tętnicy tylno-dolnej móżdżku (PICA) typowo występuje:
A. ipsilateralne porażenie nerwu twarzowego
B. kontralateralny niedowład połowiczy
C. zespół wallenberga (zespół boczny opuszki)
D. afazja i apraksja
E. obustronna ślepota";C. zespół wallenberga (zespół boczny opuszki) (egzamin neurologia II 2026 cykl A-3.docx, pyt. 20);Zespoły neurologiczne i lokalizacja
"Pacjentka 45-letnia z niedoczynnością tarczycy i cukrzycą uskarża się na napadowe, uporczywe nocne parestezje w zakresie I-III palca. Rano ma uczucie zdrętwienia i obrzęku ręki. Poruszanie palcami przynosi ulgę. Niedawno zauważyła niewielki zanik mięśni kłębu oraz czucia w tym rejonie. Wypadają jej przedmioty z ręki. Można podejrzewać, że najprawdopodobniej u pacjentki występuje:
A. uszkodzenie nerwu promieniowego
B. porażenie splotu ramiennego erba
C. zespół kanału nadgarstka
D. radikulopatia c4
E. borelioza";C. zespół kanału nadgarstka (egzamin neurologia II 2026 cykl A-3.docx, pyt. 23);Zespoły neurologiczne i lokalizacja
"W przypadku okluzja której tętnicy w udarze niedokrwiennym mózgu, największym prawdopodobieństwem dojdzie do rozwinięcia afazji?
A. tętnica przednia mózgu (ACA)
B. tętnica środkowa mózgu (MCA)
C. tętnica tylna mózgu (PCA)
D. tętnica kręgowa (VA)
E. tętnica móżdżkowa górna (SCA)";B. tętnica środkowa mózgu (MCA) (egzamin neurologia II 2026 cykl A-3.docx, pyt. 31);Zespoły neurologiczne i lokalizacja
"Które z poniższych stwierdzeń o tenekteplazie w leczeniu udaru niedokrwiennego jest prawdziwe:
A. dawkowanie 0,9 mg/kg masy ciała (maksymalnie 25 mg) jednorazowo i.v.
B. dawkowanie 0,9 mg/kg we wlewie 60 min
C. dawkowanie 0,25 mg/kg masy ciała (maksymalnie 25 mg) jednorazowo i.v.
D. może być podawana tylko po TK z kontrastem
E. jest stosowana wyłącznie u pacjentów <80 r.ż.";C. dawkowanie 0,25 mg/kg masy ciała (maksymalnie 25 mg) jednorazowo i.v. (egzamin neurologia II 2026 cykl A-3.docx, pyt. 32);Zespoły neurologiczne i lokalizacja
"Które parametry w badaniu płynu mózgowo-rdzeniowego są najbardziej typowe dla zakażenia meningokokowego:
A. wysokie białko, niska glukoza, neutrofilia
B. niskie białko, wysoka glukoza, limfocytoza
C. wysokie białko, wysoka glukoza, limfocytoza
D. niskie białko, niska glukoza, neutrofilia
E. białko i glukoza prawidłowe, neutrofilia";A. wysokie białko, niska glukoza, neutrofilia (egzamin neurologia II 2026 cykl A-3.docx, pyt. 33);Zespoły neurologiczne i lokalizacja
"U pacjenta z podejrzeniem ropnia mózgu należy w pierwszej kolejności:
A. wykonać punkcję lędźwiową
B. wykonać badanie neuroobrazowe
C. rozpocząć steroidoterapię
D. podać acyklowir
E. oznaczyć płytki";B. wykonać badanie neuroobrazowe (egzamin neurologia II 2026 cykl A-3.docx, pyt. 34);Zespoły neurologiczne i lokalizacja
"Który z poniżej wymienionych leków ma największy potencjał wywołania zespołu zaburzeń kontroli impulsów (ICD):
A. lewodopa
B. pramipeksol
C. entakapon
D. apomorfina
E. rasagilina";B. pramipeksol (egzamin neurologia II 2026 cykl A-3.docx, pyt. 36);Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: Zespół piramidowy?;Zespół piramidowy: niedowład spastyczny, wzmożone napięcie typu scyzorykowego, hiperrefleksja, klonusy, objaw Babińskiego i zanik odruchów powierzchownych.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: Zespół pozapiramidowy?;Zespół pozapiramidowy: zaburzenia ruchu bez typowego niedowładu - hipokinezja, sztywność plastyczna, drżenie spoczynkowe, dystonie, pląsawica, tiki, mioklonie.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: Zespół móżdżkowy?;Zespół móżdżkowy: ipsilateralna niezborność, dysmetria, drżenie zamiarowe, mowa skandowana, oczopląs, adiadochokineza i chód ataktyczny.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: Pień mózgu?;Pień mózgu: myśl o zespołach naprzemiennych - po stronie ogniska objawy nerwu czaszkowego, po stronie przeciwnej objawy piramidowe lub czuciowe.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: Wzmożone ciśnienie śródczaszkowe?;Wzmożone ciśnienie śródczaszkowe: ból głowy, nudności/wymioty, tarcza zastoinowa, zaburzenia świadomości, porażenie VI i ryzyko wgłobienia.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: Afazja Broki?;Afazja Broki: rozumienie względnie zachowane, mowa niepłynna. Afazja Wernickego: mowa płynna, ale niezrozumiała i zaburzone rozumienie.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: ten punkt?;"Uszkodzenie neuronu obwodowego daje zaniki i fascykulacje; ośrodkowego - spastyczność i objawy patologiczne.";Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: co trzeba pamiętać o: ten punkt?;Zaburzenia korzeniowe są dermatomalne, splotowe obejmują kilka nerwów, nerw obwodowy ma własny obszar czucia i typowy deficyt ruchowy.;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: odtwórz fakt ze skryptu zaczynający się od: RTG kręgosłupa rutynowo złoty standard gdy potrzebujemy wyniku szybko -...;RTG kręgosłupa rutynowo złoty standard gdy potrzebujemy wyniku szybko - uraz, udar oraz w nieprawidłowościach kostnych;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: odtwórz fakt ze skryptu zaczynający się od: Niedowład (paresis) lub porażenie (paralysis,...;Niedowład (paresis) lub porażenie (paralysis, plegia);Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: odtwórz fakt ze skryptu zaczynający się od: Wzmożone napięcie mięśniowe typu kurczowego = spastycznego =...;Wzmożone napięcie mięśniowe typu kurczowego = spastycznego = scyzorykowego = piramidowego nie w przypadku uszkodzenia na poziomie kory oraz okresu szoku rdzeniowego;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: odtwórz fakt ze skryptu zaczynający się od: Ograniczony niedowład, obejmujący najczęściej jedną kończynę po stronie...;Ograniczony niedowład, obejmujący najczęściej jedną kończynę po stronie przeciwnej do uszkodzenia;Zespoły neurologiczne i lokalizacja
Zespoły neurologiczne i lokalizacja: odtwórz fakt ze skryptu zaczynający się od: Niedowład połowiczy z przewagą w kończynie górnej lub porażenie...;Niedowład połowiczy z przewagą w kończynie górnej lub porażenie połowicze po stronie przeciwnej;Zespoły neurologiczne i lokalizacja
"Najczęstsza przyczyna samoistnego krwotoku śródmózgowego u dorosłych to:
A. Malformacja tętniczo-żylna (AVM)
B. Angiopatia amyloidowa
C. Leczenie trombolityczne
D. Tętniak workowaty
E. Nadciśnienie tętnicze";E. Nadciśnienie tętnicze (egzamin neurologia 2026 cykl A-2.docx, pyt. 2);Choroby naczyniowe mózgu i rdzenia
"W ostrym udarze mózgu pierwszym badaniem obrazowym powinna być:
A. MRI z dyfuzją
B. Tomografia komputerowa bez kontrastu
C. Angio-MR
D. PET-CT
E. USG Doppler tętnic szyjnych";B. Tomografia komputerowa bez kontrastu (egzamin neurologia 2026 cykl A-2.docx, pyt. 3);Choroby naczyniowe mózgu i rdzenia
"U pacjentów z migotaniem przedsionków i dużym ryzykiem krwawienia zaleca się:
A. jedynie heparynę drobnocząsteczkową w celu uniknięcia zakrzepicy żył kończyn dolnych
B. jedynie statynę w celu uniknięcia zatoru cholesterolowego z blaszki miażdżycowej
C. zamknięcie uszka lewego przedsionka
D. monitorowanie stężeń białka CiS
E. nimodypinę w celu unikcięcia skurczu naczyniowego w pierwszych 3 dobach";C. zamknięcie uszka lewego przedsionka (egzamin neurologia 2026 cykl A-2.docx, pyt. 4);Choroby naczyniowe mózgu i rdzenia
"U którego pacjenta z ostrym udarem niedokrwiennym można rozważyć leczenie trombolityczne poza standardowym oknem 4,5 h?
A. gdy objawy pojawiły się podczas snu, ale MRI pokazuje mismatch DWI-FLAIR
B. gdy TK wykazuje zmiany niedokrwienne w ostrej fazie
C. gdy czas wynosi 6 h i nie ma objawów ogniskowych
D. u każdego pacjenta z migotaniem przedsionków
E. nigdy-tromboliza dopuszczalna jest jedynie do 4,5 h";A. gdy objawy pojawiły się podczas snu, ale MRI pokazuje mismatch DWI-FLAIR (egzamin neurologia 2026 cykl A-2.docx, pyt. 5);Choroby naczyniowe mózgu i rdzenia
"Kiére stwierdzenie dotyczące otępienia czołowo-skroniowego (FTD, ang frontotemporal dementia) jest prawdziwe?
A. podstawowym objawem od początku jest izolowana utrata pamięci epizodycznej
B. na wczesnym etapie w wariancie czołowym dominują zmiany zachowania (odhamowanie, hiperoralnosé, «zachowania użytkownika"") przy względnie zachowanej pamięci
C. typowy wiek początku objawów to > 75 lat
D. wariant semantyczny cechuje się płynną mową bez zaburzenia znaczeń stów
E. MR wykazuje wyłącznie zanik hipokampa, bez zmian w płatach czołowych/skroniowych";"B. na wczesnym etapie w wariancie czołowym dominują zmiany zachowania (odhamowanie, hiperoralnosé, «zachowania użytkownika"") przy względnie zachowanej pamięci (egzamin neurologia 2026 cykl A-2.docx, pyt. 52)";Choroby naczyniowe mózgu i rdzenia
